Role,Features
Construction Project Manager,"1 to 11 Years Project Manager PhD Construction management Budgeting Contract negotiation Safety regulations Oversee construction projects, including budgeting, scheduling, and coordination of subcontractors. Ensure compliance with safety regulations. Communicate project status to stakeholders. 64574"
Customer Success Manager,"1 to 15 Years Customer Support Specialist B.Com Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products. 89906"
Environmental Consultant,"5 to 11 Years Environmental Engineer BA Environmental assessments Regulatory compliance Environmental impact analysis Provide expertise on environmental regulations, assessments, and compliance. Conduct environmental impact assessments. Develop and implement environmental management plans. 110409"
Investment Portfolio Manager,0 to 14 Years Investment Banker MCA Investment analysis Portfolio management Risk assessment Manage investment portfolios on behalf of clients or organizations. Monitor portfolio performance and adjust investment strategies. Provide regular reports and updates to clients. 117101
Software QA Tester,"1 to 10 Years QA Analyst B.Tech Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium) Perform manual testing of software applications, identify defects, and report issues. Create and execute test cases and test plans. Collaborate with developers to resolve defects. 17089"
Desktop Support Technician,"0 to 12 Years IT Support Specialist B.Tech Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking. 86157"
Litigation Support Specialist,"2 to 10 Years Legal Assistant MCA E-discovery tools and processes Document review and production Litigation support software (e.g., Relativity) Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem-solving Legal research skills Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies. 111578"
IT Project Manager,"5 to 13 Years Project Manager MBA Project management Team leadership Risk management Budgeting Communication skills Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks. 27189"
Construction Project Manager,"3 to 10 Years Project Manager BA Construction management Budgeting Contract negotiation Safety regulations Oversee construction projects, including budgeting, scheduling, and coordination of subcontractors. Ensure compliance with safety regulations. Communicate project status to stakeholders. 23889"
Market Research Analyst,"1 to 15 Years Research Analyst PhD Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations. 58966"
Inside Sales Representative,"1 to 9 Years Sales Representative BBA Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process. 64523"
Sales Account Executive,2 to 14 Years Account Executive MBA Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas. 36044
Charge Nurse,2 to 9 Years Registered Nurse BCA Nursing leadership Charge nurse responsibilities Team coordination Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues. 54794
Systems Integration Specialist,"4 to 11 Years Systems Engineer BA Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting Integrate various software and hardware systems within an organization, ensuring seamless data flow and interoperability. Collaborate with software developers and IT teams on integration projects. 76130"
Budget Analyst,"2 to 12 Years Financial Analyst M.Com Budget planning Financial forecasting Excel proficiency Data analysis Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities. 88268"
Interaction Designer,"4 to 15 Years UX/UI Designer BCA Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs. 59095"
Key Account Executive,"0 to 15 Years Account Executive B.Com Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge Focus on strategic accounts, serving as the primary point of contact for key clients. Develop account plans and growth strategies. Ensure high levels of client satisfaction and retention. 119935"
API Developer,"5 to 12 Years Back-End Developer BA API design and development RESTful API knowledge Security protocols (OAuth, JWT) Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications. 92896"
Quality Control Analyst,0 to 15 Years Chemical Analyst BA Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis Ensure the quality and consistency of chemical products and processes through testing and inspection. Identify non-conformities and deviations. Maintain quality control documentation. 118845
Database Administrator,"1 to 10 Years Systems Administrator MBA Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls. 115823"
UX Strategist,2 to 15 Years UX Researcher MBA User experience strategy User journey mapping Design thinking Develop UX strategies and roadmaps based on user research and business goals. Collaborate with design and development teams to implement UX enhancements. Conduct usability assessments of existing products. 132243
Procurement Manager,"3 to 13 Years Procurement Specialist PhD Procurement strategies Supplier management Negotiation Cost analysis Supply chain management Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services. 52742"
Exotic Animal Veterinarian,"4 to 11 Years Veterinarian PhD Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail Focus on the health and medical needs of exotic and non-traditional pets, including reptiles, birds, and exotic mammals. Provide specialized care and treatment for unique species. Educate exotic pet owners on proper care. 84103"
Client Relationship Manager,1 to 9 Years Account Manager BA Client relationship management Customer service Communication skills Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication. 106051
Senior Researcher,"3 to 15 Years Research Scientist BBA Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals. 93129"
Content Writer,"0 to 14 Years Technical Writer BA Writing skills Content creation SEO knowledge Research skills Grammar and proofreading Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences. 71775"
Event Planner,"5 to 13 Years Event Coordinator PhD Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations. 58492"
Quality Control Engineer,"2 to 14 Years Chemical Engineer MCA Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge Focus on product quality assurance and testing. Develop quality control procedures and standards. Investigate and resolve quality issues. 18197"
Pediatric Surgeon,"2 to 13 Years Pediatrician MBA Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia Perform surgical procedures on pediatric patients, including congenital abnormalities and injuries. Coordinate pre-operative and post-operative care. Ensure the well-being and recovery of young patients. 56266"
Security Consultant,1 to 13 Years Network Security Specialist BA Security consulting Risk assessment Security audits Security policy development Penetration testing Client communication Provide expert advice on security strategies and risk assessments. Conduct security assessments and vulnerability testing. Develop security policies and procedures. 26944
Technical SEO Specialist,"5 to 8 Years SEO Specialist BCA Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy. 83153"
ETL Developer,"3 to 12 Years Data Engineer B.Com ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages Extract, transform, and load (ETL) data from various sources into data warehouses. Create ETL workflows and data pipelines. Perform data validation and quality checks. 23816"
Strategic Partnerships Manager,1 to 14 Years Business Development Manager M.Tech Partnership development Negotiation and collaboration Business development Identify and establish strategic partnerships and alliances. Negotiate partnership agreements and terms. Collaborate with partners to achieve mutual business goals. 51177
Help Desk Analyst,"3 to 15 Years Customer Support Specialist BCA Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills Respond to help desk tickets, assist users, and escalate issues as needed to ensure timely resolution. Document and track support requests and resolutions. Provide training and guidance to end-users. 56033"
Technical Product Manager,"5 to 8 Years Product Manager B.Com Product management principles Technical background Agile development methodologies Product roadmap planning Market research and analysis Stakeholder communication Problem-solving skills Define product requirements, prioritize features, and collaborate with development teams to deliver technical products. Create product roadmaps and release plans. Gather and incorporate feedback from stakeholders. 62171"
Pediatric Occupational Therapist,0 to 10 Years Occupational Therapist BBA Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge Provide occupational therapy services to children with developmental or sensory challenges. Develop individualized therapy plans. Collaborate with parents and caregivers. 117920
IT Business Analyst,"1 to 9 Years Business Analyst MBA Business process analysis Requirement gathering Data analysis Communication skills Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions. 27076"
Mechanical Design Engineer,"2 to 13 Years Mechanical Engineer BCA Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses. 133950"
Adult Speech Therapist,"5 to 12 Years Speech Therapist MCA Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills Focus on speech and language therapy for adults with communication challenges. Address speech disorders, aphasia, and swallowing difficulties. Customize therapy plans for individual needs. 59729"
Digital Marketing Manager,"5 to 12 Years Marketing Manager B.Tech Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo) Develop and execute digital marketing strategies, including SEO, email marketing, and social media campaigns. Analyze digital marketing metrics and adjust strategies as needed. Manage digital marketing budgets. 57673"
Purchasing Coordinator,"0 to 12 Years Procurement Coordinator M.Tech Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations Coordinate purchasing activities, including vendor sourcing and negotiation. Create purchase orders and track deliveries. Ensure cost-effective procurement. 122221"
System Administrator,4 to 13 Years IT Administrator MBA System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery Manage and maintain computer systems and servers. Install and configure software and hardware. Monitor system performance and security. 100972
Primary Care Nurse Practitioner,"0 to 13 Years Nurse Practitioner BA Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR) Provide comprehensive primary healthcare services, including assessments, diagnoses, and treatments. Educate patients on health management and prevention. Prescribe medications and develop care plans. 69236"
Network Administrator,"1 to 15 Years Network Engineer M.Tech Network management Troubleshooting Network security IT certifications (e.g., CCNA) Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance. 133503"
IT Project Manager,"2 to 11 Years Project Manager MCA Project management Team leadership Risk management Budgeting Communication skills Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks. 64177"
Sales Account Manager,5 to 9 Years Account Manager BA Account management Sales strategy Negotiation and closing skills Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts. 47632
Backend Developer,"2 to 12 Years Software Engineer B.Com Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 133449"
Desktop Support Technician,"2 to 13 Years IT Support Specialist M.Tech Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking. 25142"
Construction Engineer,"0 to 15 Years Structural Engineer BA Construction management Structural design AutoCAD proficiency Project management Site inspection Oversee construction projects, including structural aspects, budgeting, and scheduling. Collaborate with architects and contractors. Ensure compliance with building codes and safety standards. 102320"
Procurement Analyst,5 to 14 Years Procurement Manager MCA Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting. 34045
Quality Control Manager,"5 to 14 Years Operations Manager M.Tech Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge Establish and enforce quality control standards and procedures. Conduct quality audits and inspections. Collaborate with production teams to address quality issues and implement improvements. 115452"
Benefits Coordinator,"5 to 11 Years HR Coordinator M.Tech Employee benefits administration Benefits compliance HRIS Benefits communication Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits. 23535"
JavaScript Developer,"5 to 13 Years Front-End Engineer MCA JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting Develop interactive web applications using JavaScript frameworks and libraries, such as React or Angular. Debug and resolve frontend issues. Ensure cross-browser compatibility. 22395"
Orthopedic Physical Therapist,1 to 13 Years Physical Therapist B.Com Orthopedic assessment and treatment Rehabilitation exercises Patient education Specialize in treating musculoskeletal injuries and conditions. Conduct evaluations and develop personalized treatment plans. Provide manual therapy and exercise programs. 100611
Content Creator,"5 to 8 Years Social Media Coordinator MCA Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments. 64893"
Architectural Designer,"3 to 10 Years Architect BA Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations. 96486"
HR Coordinator,"5 to 8 Years HR Generalist MBA Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics. 78114"
Automation Test Engineer,"5 to 15 Years QA Analyst BBA Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks. 84334"
IT Director,"1 to 10 Years IT Manager B.Com Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems Provide strategic leadership for IT departments, setting goals and priorities. Oversee IT budgets and resource allocation. Align IT initiatives with overall business objectives. 82594"
Business Development Director,5 to 12 Years Account Director BCA Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills Develop and execute business development strategies to acquire new clients and grow accounts. Identify market opportunities and trends. Lead sales pitches and presentations. 20470
IT Analyst,"4 to 15 Years Systems Analyst PhD IT systems analysis Troubleshooting IT support and documentation Analyze business systems, processes, and requirements to identify IT solutions. Develop system specifications and requirements documents. Collaborate with IT teams to implement solutions. 105551"
School Psychologist,"2 to 15 Years Psychologist MCA School psychology Special education knowledge Assessment and testing Individualized education plans Collaboration skills Work in educational settings to support students emotional and psychological well-being. Conduct assessments, provide counseling, and collaborate with educators. Assist in the development of individualized education plans. 60781"
Usability Analyst,0 to 10 Years UX Researcher BA Usability evaluation User interface assessment Usability testing tools and techniques Focus on usability testing of digital products and websites. Create test plans and scenarios. Gather and analyze usability data to identify areas for improvement. 130256
Procurement Analyst,2 to 9 Years Procurement Manager M.Com Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting. 21274
SEO Copywriter,"4 to 15 Years Copywriter M.Com SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush) Write web content optimized for search engines (SEO), including blog posts, product descriptions, and meta tags. Conduct keyword research and on-page SEO optimization. Monitor SEO rankings and traffic. 52184"
Database Developer,"1 to 10 Years Database Administrator BA Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures. 66692"
Digital Marketing Manager,"4 to 15 Years Marketing Manager BA Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo) Develop and execute digital marketing strategies, including SEO, email marketing, and social media campaigns. Analyze digital marketing metrics and adjust strategies as needed. Manage digital marketing budgets. 26300"
Forensic Accountant,"1 to 11 Years Accountant BBA Forensic accounting Fraud detection Legal knowledge Investigative skills Investigate financial discrepancies, analyze financial data for fraud, and provide expert testimony in legal cases. Perform forensic audits and fraud detection. Collaborate with law enforcement and legal teams. 15111"
Marketing Communications Director,"4 to 13 Years Marketing Director B.Tech Marketing communication Public relations Content strategy Crisis management Media relations Lead marketing communications efforts, including public relations and content marketing. Create marketing collateral and press releases. Manage media relations and crisis communications. 115409"
DevOps Engineer,"4 to 14 Years Software Engineer PhD Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills Configure and maintain continuous integration and deployment (CI/CD) pipelines, ensuring efficient software delivery. Automate and streamline development and deployment processes. Monitor and troubleshoot system issues. 88710"
Wedding Consultant,5 to 13 Years Wedding Planner MBA Wedding planning Vendor coordination Event management Offer expert advice and guidance to couples planning their weddings. Assist with wedding theme and design selection. Coordinate and negotiate with vendors. 126827
Client Relationship Manager,1 to 11 Years Account Manager BBA Client relationship management Customer service Communication skills Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication. 99047
Customer Support Specialist,"0 to 11 Years Customer Success Manager BCA Customer service Problem-solving Communication skills Ticketing system usage Product knowledge Provide responsive and effective customer support, addressing inquiries and resolving issues. Escalate and track customer cases as needed. Document customer interactions and feedback. 74262"
Network Security Specialist,"3 to 12 Years Network Technician BA Network security Cybersecurity Intrusion detection Security analysis Firewall management Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements. 116242"
Mergers and Acquisitions Advisor,"4 to 11 Years Investment Banker PhD Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques Advise on mergers, acquisitions, and corporate finance transactions. Perform due diligence and financial analysis. Negotiate and structure deals. 94235"
Accessibility Developer,"4 to 11 Years Front-End Developer M.Com Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail Ensure web accessibility for all users, including those with disabilities. Implement WCAG guidelines and accessibility features. Conduct accessibility testing and remediation. 30310"
Documentation Specialist,"5 to 12 Years Technical Writer BA Document management Recordkeeping Attention to detail Data entry Organizational skills Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity. 100692"
Enterprise Architect,"1 to 15 Years Software Architect BBA Enterprise architecture Business strategy alignment IT governance and compliance Focus on aligning software solutions with overall enterprise architecture. Ensure scalability, security, and interoperability. Evaluate and recommend technology stacks and tools. 78539"
Logistics Manager,"2 to 10 Years Supply Chain Manager BBA Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management Manage the transportation and distribution of goods. Optimize supply chain efficiency, reduce costs, and minimize delivery times. Monitor inventory levels and warehouse operations. 55434"
Backend Developer,"1 to 11 Years Software Engineer B.Com Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 132480"
Full-Stack Developer,"5 to 15 Years Web Developer B.Tech Frontend and backend development Database integration Problem-solving API knowledge Work on both frontend and backend aspects, creating full-stack solutions for web development. Integrate third-party APIs and services. Troubleshoot and debug web applications. 80978"
Equine Veterinarian,"1 to 14 Years Veterinarian MCA Equine veterinary medicine Horse anatomy and physiology Lameness evaluation Equine surgery Dentistry for horses Emergency equine care Equine reproductive health Compassion and empathy Client communication Problem-solving Attention to detail Specialize in the care and treatment of horses and other equine species. Perform health assessments, dental care, and surgical procedures for horses. Advise horse owners on nutrition and wellness. 62236"
Brand Marketing Analyst,"1 to 11 Years Brand Manager MCA Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation Analyze brand performance metrics and consumer behavior. Track marketing campaigns and assess their impact on brand perception. Provide insights and recommendations for brand improvement. 112722"
Help Desk Support Specialist,"4 to 15 Years IT Support Specialist PhD Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Document and track support requests and resolutions. Provide training and guidance to end-users. 36395"
Event Marketing Coordinator,4 to 11 Years Marketing Coordinator MCA Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills Plan and coordinate marketing events and promotions. Execute event marketing campaigns and activations. Collaborate with vendors and sponsors. 16262
IT Director,"4 to 8 Years IT Manager M.Tech Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems Provide strategic leadership for IT departments, setting goals and priorities. Oversee IT budgets and resource allocation. Align IT initiatives with overall business objectives. 124651"
Financial Analyst,"2 to 14 Years Investment Banker B.Tech Financial analysis Data analysis Financial modeling Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies. 31915"
Procurement Manager,"5 to 14 Years Procurement Specialist MBA Procurement strategies Supplier management Negotiation Cost analysis Supply chain management Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services. 13618"
Backend Developer,"3 to 15 Years Software Engineer B.Com Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 49354"
Corporate Event Planner,"3 to 8 Years Event Planner B.Tech Corporate event planning Corporate branding Corporate communication Audiovisual equipment Crisis management Organize corporate events, conferences, and seminars. Develop event marketing strategies and manage event budgets. Coordinate speakers, sponsors, and attendee registration. 17886"
Sales Account Executive,5 to 11 Years Account Executive BCA Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas. 51682
Family Nurse Practitioner,"1 to 12 Years Nurse Practitioner M.Com Family medicine Health assessment Pediatric care Chronic disease management Patient education Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness. 132159"
Systems Engineer,3 to 12 Years Aerospace Engineer PhD Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams. 70780
SEM Analyst,3 to 11 Years SEM Specialist BCA Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices. 127935
Backend Developer,"3 to 10 Years Software Engineer PhD Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 132451"
Mergers and Acquisitions Advisor,"1 to 9 Years Investment Banker M.Tech Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques Advise on mergers, acquisitions, and corporate finance transactions. Perform due diligence and financial analysis. Negotiate and structure deals. 120257"
Media Relations Specialist,0 to 15 Years Public Relations Specialist BBA Media relations Press releases Media outreach Crisis communication Public relations strategies Manage relationships with media outlets and journalists. Draft press releases and media pitches. Coordinate interviews and media coverage. 113930
Database Developer,"5 to 13 Years Database Administrator PhD Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures. 78882"
Investment Advisor,4 to 14 Years Financial Advisor PhD Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies. 23540
Manufacturing Engineer,1 to 14 Years Mechanical Engineer PhD Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control. 124261
Automation Tester,"0 to 15 Years Software Tester BCA Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management Implement and maintain test automation frameworks. Write automated test scripts for regression testing. Analyze test results and provide feedback for continuous improvement. 128332"
Real Estate Paralegal,"2 to 9 Years Paralegal B.Com Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions. 115868"
Demand Planner,2 to 9 Years Supply Chain Manager PhD Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools. 19730
Technical Support Specialist,"4 to 13 Years Customer Support Specialist MBA Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation Provide technical assistance to customers, troubleshoot issues, and resolve inquiries through various communication channels. Maintain accurate records of customer interactions and solutions. Collaborate with other support teams for complex issues. 90588"
Data Scientist,"4 to 10 Years Data Analyst B.Com Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R) Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing. 89154"
